order_id,customer_id,product_id,order_date,quantity,payment_mode,order_status
O1001,C001,P001,2024-01-05,1,UPI,DELIVERED
O1002,C002,P004,2024-01-07,2,CARD,DELIVERED
O1003,C003,P003,2024-01-10,1,CARD,CANCELLED
O1004,C001,P002,2024-01-12,1,UPI,DELIVERED
O1005,C004,P005,2024-01-15,3,COD,DELIVERED
O1006,C005,P001,2024-01-18,1,UPI,RETURNED
O1007,C006,P006,2024-01-20,2,CARD,DELIVERED
O1008,C007,P007,2024-01-22,1,UPI,DELIVERED
O1009,C008,P004,2024-01-25,1,CARD,DELIVERED
O1010,C001,P001,2024-01-28,1,UPI,DELIVERED
